Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,24,Angola,5419,Yield,142.0,"Groundnuts, excluding shelled",2016,2016,100 g/ha,7843,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,142.0,"Groundnuts, excluding shelled",2017,2017,100 g/ha,6686,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,142.0,"Groundnuts, excluding shelled",2018,2018,100 g/ha,6275,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,142.0,"Groundnuts, excluding shelled",2019,2019,100 g/ha,6287,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,142.0,"Groundnuts, excluding shelled",2020,2020,100 g/ha,6486,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,142.0,"Groundnuts, excluding shelled",2021,2021,100 g/ha,6337,A,Official figure,
QCL,Crops and livestock products,24,Angola,5410,Yield,231.0,"Hen eggs in shell, fresh",2016,2016,100 mg/An,57778,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5413,Yield,231.0,"Hen eggs in shell, fresh",2016,2016,No/An,109,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5410,Yield,231.0,"Hen eggs in shell, fresh",2017,2017,100 mg/An,57065,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5413,Yield,231.0,"Hen eggs in shell, fresh",2017,2017,No/An,108,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5410,Yield,231.0,"Hen eggs in shell, fresh",2018,2018,100 mg/An,56667,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5413,Yield,231.0,"Hen eggs in shell, fresh",2018,2018,No/An,107,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5410,Yield,231.0,"Hen eggs in shell, fresh",2019,2019,100 mg/An,56667,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5413,Yield,231.0,"Hen eggs in shell, fresh",2019,2019,No/An,107,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5410,Yield,231.0,"Hen eggs in shell, fresh",2020,2020,100 mg/An,56801,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5413,Yield,231.0,"Hen eggs in shell, fresh",2020,2020,No/An,107,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5410,Yield,231.0,"Hen eggs in shell, fresh",2021,2021,100 mg/An,56712,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5413,Yield,231.0,"Hen eggs in shell, fresh",2021,2021,No/An,107,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,112.0,Maize (corn),2016,2016,100 g/ha,9785,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,112.0,Maize (corn),2017,2017,100 g/ha,8935,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,112.0,Maize (corn),2018,2018,100 g/ha,10477,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,112.0,Maize (corn),2019,2019,100 g/ha,10666,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,112.0,Maize (corn),2020,2020,100 g/ha,10993,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,112.0,Maize (corn),2021,2021,100 g/ha,10836,A,Official figure,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2016,2016,100 g/An,1668,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2017,2017,100 g/An,1682,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2018,2018,100 g/An,1687,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2019,2019,100 g/An,1677,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2020,2020,100 g/An,1697,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21111.01,"Meat of cattle with the bone, fresh or chilled",2021,2021,100 g/An,1692,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5424,Yield/Carcass Weight,21121.0,"Meat of chickens, fresh or chilled",2016,2016,0.1 g/An,9000,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5424,Yield/Carcass Weight,21121.0,"Meat of chickens, fresh or chilled",2017,2017,0.1 g/An,9000,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5424,Yield/Carcass Weight,21121.0,"Meat of chickens, fresh or chilled",2018,2018,0.1 g/An,9000,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5424,Yield/Carcass Weight,21121.0,"Meat of chickens, fresh or chilled",2019,2019,0.1 g/An,9000,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5424,Yield/Carcass Weight,21121.0,"Meat of chickens, fresh or chilled",2020,2020,0.1 g/An,9000,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5424,Yield/Carcass Weight,21121.0,"Meat of chickens, fresh or chilled",2021,2021,0.1 g/An,9000,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21116.0,"Meat of goat, fresh or chilled",2016,2016,100 g/An,150,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21116.0,"Meat of goat, fresh or chilled",2017,2017,100 g/An,150,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21116.0,"Meat of goat, fresh or chilled",2018,2018,100 g/An,150,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21116.0,"Meat of goat, fresh or chilled",2019,2019,100 g/An,154,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21116.0,"Meat of goat, fresh or chilled",2020,2020,100 g/An,155,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21116.0,"Meat of goat, fresh or chilled",2021,2021,100 g/An,156,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,100 g/An,769,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,100 g/An,796,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,100 g/An,674,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,100 g/An,674,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,100 g/An,674,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21113.01,"Meat of pig with the bone, fresh or chilled",2021,2021,100 g/An,674,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21115.0,"Meat of sheep, fresh or chilled",2016,2016,100 g/An,150,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21115.0,"Meat of sheep, fresh or chilled",2017,2017,100 g/An,157,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21115.0,"Meat of sheep, fresh or chilled",2018,2018,100 g/An,156,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21115.0,"Meat of sheep, fresh or chilled",2019,2019,100 g/An,156,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21115.0,"Meat of sheep, fresh or chilled",2020,2020,100 g/An,156,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5417,Yield/Carcass Weight,21115.0,"Meat of sheep, fresh or chilled",2021,2021,100 g/An,156,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,118.0,Millet,2016,2016,100 g/ha,2445,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,118.0,Millet,2017,2017,100 g/ha,2593,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,118.0,Millet,2018,2018,100 g/ha,2310,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,118.0,Millet,2019,2019,100 g/ha,2305,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,118.0,Millet,2020,2020,100 g/ha,2388,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,118.0,Millet,2021,2021,100 g/ha,2373,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1491.01,Oil palm fruit,2016,2016,100 g/ha,121005,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1491.01,Oil palm fruit,2017,2017,100 g/ha,121066,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1491.01,Oil palm fruit,2018,2018,100 g/ha,121209,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1491.01,Oil palm fruit,2019,2019,100 g/ha,120825,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1491.01,Oil palm fruit,2020,2020,100 g/ha,120810,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1491.01,Oil palm fruit,2021,2021,100 g/ha,120796,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1253.01,"Onions and shallots, green",2016,2016,100 g/ha,20975,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1253.01,"Onions and shallots, green",2017,2017,100 g/ha,21156,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1253.01,"Onions and shallots, green",2018,2018,100 g/ha,21142,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1253.01,"Onions and shallots, green",2019,2019,100 g/ha,21233,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1253.01,"Onions and shallots, green",2020,2020,100 g/ha,21331,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1253.01,"Onions and shallots, green",2021,2021,100 g/ha,21271,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1329.0,"Other citrus fruit, n.e.c.",2016,2016,100 g/ha,108551,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1329.0,"Other citrus fruit, n.e.c.",2017,2017,100 g/ha,107974,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1329.0,"Other citrus fruit, n.e.c.",2018,2018,100 g/ha,108626,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1329.0,"Other citrus fruit, n.e.c.",2019,2019,100 g/ha,108074,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1329.0,"Other citrus fruit, n.e.c.",2020,2020,100 g/ha,111283,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1329.0,"Other citrus fruit, n.e.c.",2021,2021,100 g/ha,112296,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1359.9,"Other fruits, n.e.c.",2016,2016,100 g/ha,46235,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1359.9,"Other fruits, n.e.c.",2017,2017,100 g/ha,46472,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1359.9,"Other fruits, n.e.c.",2018,2018,100 g/ha,46781,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1359.9,"Other fruits, n.e.c.",2019,2019,100 g/ha,47300,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1359.9,"Other fruits, n.e.c.",2020,2020,100 g/ha,47595,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1359.9,"Other fruits, n.e.c.",2021,2021,100 g/ha,47890,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1290.9,"Other vegetables, fresh n.e.c.",2016,2016,100 g/ha,59756,E,Estimated value,
