Africa Eastern and Southern,AFE,Mobile cellular subscriptions,IT.CEL.SETS,Year,Subscribers
Georgia,GEO,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Ghana,GHA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Gibraltar,GIB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Guinea,GIN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Gambia, The",GMB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Guinea-Bissau,GNB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Equatorial Guinea,GNQ,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Greece,GRC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Grenada,GRD,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Greenland,GRL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Guatemala,GTM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Guam,GUM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Guyana,GUY,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
High income,HIC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Hong Kong SAR, China",HKG,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Honduras,HND,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Heavily indebted poor countries (HIPC),HPC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Croatia,HRV,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Haiti,HTI,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Hungary,HUN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
IBRD only,IBD,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
IDA & IBRD total,IBT,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
IDA total,IDA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
IDA blend,IDB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Indonesia,IDN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
IDA only,IDX,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
India,IND,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Ireland,IRL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Iran, Islamic Rep.",IRN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Iraq,IRQ,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Iceland,ISL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Italy,ITA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Jamaica,JAM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Jordan,JOR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Japan,JPN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Kazakhstan,KAZ,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Kenya,KEN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Kyrgyz Republic,KGZ,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Cambodia,KHM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Kiribati,KIR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
St. Kitts and Nevis,KNA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Korea, Rep.",KOR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Kuwait,KWT,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Latin America & Caribbean (excluding high income),LAC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Lao PDR,LAO,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Lebanon,LBN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Liberia,LBR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Libya,LBY,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
St. Lucia,LCA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Latin America & Caribbean,LCN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Least developed countries: UN classification,LDC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Low income,LIC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Sri Lanka,LKA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Lower middle income,LMC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Low & middle income,LMY,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
